报道时间,国家,地区,城市,新增确诊,新增出院,新增死亡,消息来源
2月14日,中国,四川,巴中市,2,0,0,央视
2月14日,中国,四川,成都市,4,1,0,央视
2月14日,中国,四川,甘孜州,6,0,0,央视
2月14日,中国,山东,潍坊市,0,1,0,山东卫健委
2月14日,中国,山东,烟台市,0,3,0,山东卫健委
2月14日,中国,山东,济南市,0,1,0,山东卫健委
2月14日,中国,山东,青岛市,0,1,0,山东卫健委
2月14日,中国,山东,滨州市,2,0,0,山东卫健委
2月14日,中国,山东,临沂市,2,1,0,山东卫健委
2月14日,中国,山东,济宁市,3,0,0,山东卫健委
2月14日,中国,山东,淄博市,3,0,0,山东卫健委
2月14日,中国,福建,福州市,2,0,0,央视
2月14日,中国,广西,贵港市,0,2,0,央视
2月14日,中国,广西,北海市,1,0,0,央视
2月14日,中国,广西,南宁市,3,0,0,央视
2月14日,中国,吉林,通化市,0,1,0,央视
2月14日,中国,吉林,四平市,1,0,0,央视
2月14日,中国,吉林,长春市,1,2,0,央视
2月14日,中国,河北,唐山市,0,1,0,央视
2月14日,中国,河北,秦皇岛市,0,1,0,央视
2月14日,中国,河北,张家口市,0,1,0,央视
2月14日,中国,河北,石家庄市,0,1,0,央视
2月14日,中国,河北,邯郸市,0,0,0,央视
2月14日,中国,河北,衡水市,0,2,0,央视
2月14日,中国,河北,邢台市,0,3,0,央视
2月14日,中国,河北,廊坊市,0,4,0,央视
2月14日,中国,河北,邢台市,1,0,0,央视
2月14日,中国,河北,沧州市,3,0,0,央视
2月14日,中国,河北,张家口市,6,0,0,央视
2月14日,中国,河北,唐山市,8,0,0,央视
2月14日,中国,黑龙江,七台河市,0,1,0,央视
2月14日,中国,黑龙江,大庆市,0,1,0,央视
2月14日,中国,黑龙江,齐齐哈尔市,0,4,0,央视
2月14日,中国,黑龙江,黑河市,3,0,0,央视
2月14日,中国,黑龙江,大庆市,3,0,0,央视
2月14日,中国,黑龙江,双鸭山市,9,0,0,央视
2月14日,中国,黑龙江,齐齐哈尔市,3,0,0,央视
2月14日,中国,黑龙江,哈尔滨市,5,0,2,央视
2月14日,中国,上海,金山区,0,1,0,澎湃
2月14日,中国,上海,浦东新区,0,2,0,澎湃
2月14日,中国,上海,外地来沪,0,1,0,澎湃
2月14日,中国,上海,外地来沪,1,0,0,澎湃
2月14日,中国,上海,嘉定区,1,0,0,澎湃
2月14日,中国,上海,杨浦区,1,0,0,澎湃
2月14日,中国,湖北,潜江市,10,3,0,央视
2月14日,中国,湖北,天门市,54,8,0,央视
2月14日,中国,湖北,仙桃市,20,10,1,央视
2月14日,中国,湖北,恩施州,8,10,0,央视
2月14日,中国,湖北,随州市,46,10,2,央视
2月14日,中国,湖北,咸宁市,198,15,1,央视
