relation,node1,node2
"相关奖项","character/resource/R358","character/resource/R376"
"相关奖项","character/resource/R359","character/resource/R371"
"摘要","character/resource/R36","character/resource/R71"
"类型","character/resource/R36","character/resource/R70"
"相关奖项","character/resource/R360","character/resource/R377"
"相关奖项","character/resource/R361","character/resource/R372"
"相关奖项","character/resource/R362","character/resource/R367"
"相关奖项","character/resource/R363","character/resource/R369"
"相关奖项","character/resource/R364","character/resource/R370"
"相关奖项","character/resource/R365","character/resource/R373"
"相关奖项","character/resource/R366","character/resource/R375"
"摘要","character/resource/R37","character/resource/R65"
"类型","character/resource/R37","character/resource/R66"
"摘要","character/resource/R38","character/resource/R63"
"类型","character/resource/R38","character/resource/R64"
"摘要","character/resource/R39","character/resource/R62"
"职责","character/resource/R392","character/resource/R472"
"死亡原因","character/resource/R392","character/resource/R391"
"履历","character/resource/R392","character/resource/R449"
"事迹","character/resource/R393","character/resource/R453"
"职责","character/resource/R393","character/resource/R451"
"死亡原因","character/resource/R393","character/resource/R410"
"履历","character/resource/R393","character/resource/R407"
"事迹","character/resource/R394","character/resource/R454"
"职责","character/resource/R394","character/resource/R452"
"死亡原因","character/resource/R394","character/resource/R414"
"履历","character/resource/R394","character/resource/R411"
"事迹","character/resource/R395","character/resource/R456"
"职责","character/resource/R395","character/resource/R455"
"死亡原因","character/resource/R395","character/resource/R410"
"履历","character/resource/R395","character/resource/R415"
"事迹","character/resource/R397","character/resource/R458"
"职责","character/resource/R397","character/resource/R457"
"死亡原因","character/resource/R397","character/resource/R391"
"履历","character/resource/R397","character/resource/R420"
"事迹","character/resource/R398","character/resource/R460"
"职责","character/resource/R398","character/resource/R459"
"死亡原因","character/resource/R398","character/resource/R279"
"履历","character/resource/R398","character/resource/R422"
"事迹","character/resource/R399","character/resource/R462"
"职责","character/resource/R399","character/resource/R461"
"死亡原因","character/resource/R399","character/resource/R410"
"履历","character/resource/R399","character/resource/R424"
"获奖原因","character/resource/R40","character/resource/R79"
"事迹","character/resource/R400","character/resource/R465"
"事迹","character/resource/R400","character/resource/R464"
"职责","character/resource/R400","character/resource/R463"
"死亡原因","character/resource/R400","character/resource/R414"
"履历","character/resource/R400","character/resource/R427"
"死亡原因","character/resource/R401","character/resource/R432"
"履历","character/resource/R401","character/resource/R430"
"职责","character/resource/R402","character/resource/R487"
"死亡原因","character/resource/R402","character/resource/R410"
"履历","character/resource/R402","character/resource/R433"
"事迹","character/resource/R403","character/resource/R467"
"职责","character/resource/R403","character/resource/R466"
"死亡原因","character/resource/R403","character/resource/R439"
"履历","character/resource/R403","character/resource/R436"
"事迹","character/resource/R404","character/resource/R488"
"事迹","character/resource/R404","character/resource/R489"
"职责","character/resource/R404","character/resource/R490"
